#"GalID" "inclination" "r50" "e50" "pa50" "lr50" "elr50" "vsig50"
8752041 30 0.864595777679269 0.317570846545167 42.5470391802498 0.0787586575720877 0.0758422479936589 0.0855699276468937
8752041 45 0.86719576522666 0.339369799542362 41.8457746095245 0.0528750842184976 0.0498744542391507 0.061078421339267
8752041 60 0.889560039454635 0.277622029570668 -44.9381120493366 0.0406232559776243 0.0382795526408165 0.0478047168568687
8752041 75 0.914289074286552 0.191260184142577 -36.0911267505128 0.0219799524764968 0.0213858556068897 0.0309482146300183
13720597 30 1.37142307409371 0.230057526663372 -31.7549943192949 0.0262953385943485 0.0270274857191169 0.0302798320978241
13720597 45 1.28368704122797 0.310906243820301 -20.1366055683352 0.0257917778853781 0.0262623261034235 0.0287023293535032
13720597 60 1.17555081484724 0.433767105365002 -14.0845122138084 0.0345623447105676 0.0344957296431189 0.0403247106075412
13720597 75 1.04969029242722 0.570503622664427 -11.0998187639079 0.0302652077377166 0.0295389999205264 0.0371682684704768
9639906 30 0.800713166835504 0.073346950173061 3.20323353337445 0.0391611651248591 0.0391333981227782 0.0416828606015024
9639906 45 0.801612244637816 0.0649613304998683 -6.45055064438391 0.039964277556652 0.0398601272100482 0.0452455539536221
9639906 60 0.795649437916488 0.102624687394833 -16.2336602316682 0.0447207349744806 0.0446495726739214 0.0495611877173895
9639906 75 0.79525086391245 0.103548351575211 -18.4873824430629 0.0276076051466761 0.0273565253170178 0.0337981419869367
6650953 30 1.00585412389073 0.501033407586278 7.3034651082024 0.0431507189771633 0.0435919279643129 0.050622411661695
6650953 45 0.996533562399457 0.504668997287763 4.881398907412 0.0445649291228777 0.0458069885288572 0.0481826799257166
6650953 60 0.988534824322824 0.513542724019098 2.4481781875756 0.0507920067715675 0.052331398062241 0.0557927960572381
6650953 75 0.980040235261012 0.536137093196658 1.00290318191943 0.0535048050670899 0.0569903911249476 0.0560951556198014
10316711 30 0.679182613688184 0.0362407344557208 -11.3223689443579 0.0612687146297132 0.0613779388661823 0.0762619494478027
10316711 45 0.662251350360514 0.198286162089961 -9.79647112339368 0.0456112723736132 0.0460316000539029 0.0624213046364314
10316711 60 0.652984480503657 0.255176501110247 -10.3813220877637 0.0417295575143568 0.0419404746794909 0.0488116835684467
10316711 75 0.674177249269246 0.267400379891329 -16.7908363169932 0.0333076961745442 0.0334412497441904 0.0403733335274433
8963514 30 0.844680186320084 0.30664079431686 -8.70517666327708 0.0376135683865179 0.0378916203282776 0.0426897768707849
8963514 45 0.838744561615982 0.315025380246612 -2.71642936933056 0.0525300448465166 0.0526899715911811 0.0616119886008534
8963514 60 0.840072463374306 0.321206424651562 3.37416681419957 0.0500139897926279 0.0500506487071038 0.0586367871499513
8963514 75 0.846155042211047 0.298688665416486 6.48982164166805 0.0424070813545809 0.0422201285127924 0.0460942256233681
8799477 30 1.12749074325949 0.0560779799266635 35.6948087845833 0.0150752975155528 0.0150623639778786 0.0181652409847525
8799477 45 1.12225963532297 0.0455800649990951 -23.0332605985198 0.02695085729533 0.0270467502786318 0.0275504829578609
8799477 60 1.11246606590535 0.132250561508903 -35.2024921044513 0.0270533158750636 0.0273572645154502 0.0281336907186446
8799477 75 1.09514214254834 0.201763253675084 -26.4328505466816 0.0333527431708216 0.034230066323949 0.0351981212605693
8819792 30 0.715932615534616 0.398164218191392 22.1849935339217 0.112915878313284 0.112363839422935 0.118592784725028
8819792 45 0.698552327945231 0.375876096798634 18.5456738483605 0.0864097836064462 0.0858623438997215 0.0943964149117376
8819792 60 0.833683572302919 0.331113926816231 34.8932375313506 0.0385349580832711 0.0396920540334908 0.047742259328464
8819792 75 0.756324791404013 0.421121697699361 18.3305593847523 0.0378151841595167 0.0377300663250966 0.045054963362329
11464247 30 1.50865690859987 0.256253444072538 -0.989966736625559 0.0347839706768384 0.034193169585951 0.039217074173857
11464247 45 1.46589240271138 0.385558981594402 -1.94187766112754 0.0674685456861927 0.0660425574984373 0.0725383917097789
11464247 60 1.40102995351603 0.400061695512737 -4.46078767363085 0.0799276358890893 0.0780455151477305 0.087106602284716
11464247 75 1.34040787983173 0.497539813392679 -5.914899596162 0.0963477722266396 0.0906335284697158 0.115935184220279
8900328 30 0.894701691629226 0.415541299519551 -2.00116384207105 0.03519329390624 0.0341760302372733 0.0419200210284228
8900328 45 0.881384844913651 0.457519801434805 -7.8152465291122 0.024229098779653 0.0245380589507268 0.0267374166095268
8900328 60 0.873073831314395 0.485741497021346 -11.010433001097 0.0395537361144211 0.0402537767137371 0.0489316046625338
8900328 75 0.871683143837029 0.487038521072059 -12.9550641335176 0.0431100529320122 0.0421588526276144 0.0478313912049563
13698383 30 1.00860676550956 0.383998463040642 2.530428667206 0.175567706425608 0.183329708797598 0.212093160559092
13698383 45 1.03390174886353 0.326008147047604 10.1527133407048 0.16713459215038 0.177417778641128 0.193268968587394
13698383 60 1.03728956784068 0.355756791128851 16.5566924293656 0.227902829907731 0.241203969521497 0.276257026851647
13698383 75 1.05295138581597 0.318310889212678 17.1206182874779 0.207682931133846 0.220155399468932 0.271522010516282
8995405 30 0.703602850462747 0.318477842223669 -34.1761302092571 0.0480147901328753 0.0475183645905315 0.0562395905394593
