      1.00000       0.00000   1.23514e+12       3.51461      0.299557      0.272595       90.8060       56.9991     0.0109326       1833.09       1453.12      0.186648      0.286767       412.279       398.323
      1.00000       1.00000   1.38213e+12       2.42158      0.305545      0.302515       103.695       54.1029      0.126459       3915.54       3524.14      0.283640     0.0182030       370.660       397.662
      1.00000       2.00000   6.41195e+11      0.238330      0.172528      0.212177       49.0706       25.4739      0.102468       6019.31       5160.93      0.340847      0.343403       267.518       316.393
      1.00000       3.00000   2.83796e+11      0.117742     0.0999781     0.0912868       17.6182       9.85927      0.115581       7310.96       5945.19      0.163890     0.0798548       212.051       223.930
      1.00000       4.00000   1.26521e+11      0.623918      0.524513      0.565436       9.24002       7.08827       1.10878       1709.33       1909.66      0.335540      0.375743       130.265       120.646
      1.00000       5.00000   2.25231e+11       0.00000      0.199886      0.198583       10.1962       6.04488      0.245480       4429.61       4654.40      0.249084     0.0407250       202.201       211.260
      1.00000       6.00000   8.49595e+10       2.52778      0.725344      0.585929       5.84049       5.29296       1.77393       6523.26       7960.99      0.485192      0.156294       101.126       81.1934
      1.00000       7.00000   1.18027e+11       6.18999      0.625251      0.415095       6.59024       5.95159       1.03669       7682.96       9799.97      0.221795      0.205401       122.323       113.312
      1.00000       8.00000   7.34152e+10       0.00000      0.201945      0.255329       8.83797       6.17310      0.330579       308.480       499.863      0.212898      0.269169       131.359       122.911
      1.00000       9.00000   6.92017e+10       0.00000     0.0945193     0.0937312       9.37677       6.22754     0.0441277       743.631       1070.55      0.225793     0.0659672       134.952       134.211
      1.00000       10.0000   6.34412e+10       1.13382      0.575225      0.495189       7.22870       4.69660      0.827130       1280.18       1715.37      0.440565      0.397254       107.339       94.1908
      1.00000       11.0000   4.45701e+10       0.00000      0.216260      0.156948       3.42508       1.96265      0.341579       1794.97       2181.06      0.189295      0.146842       126.734       107.963
      1.00000       12.0000   5.89916e+10       0.00000      0.328402      0.268788       8.31478       5.68628      0.522175       73.2028       61.9893      0.179087      0.189688       113.073       105.417
      1.00000       13.0000   1.02878e+11       0.00000      0.363349      0.286966       8.84586       5.97107      0.651657       122.022       118.118      0.393955     0.0927506       131.991       122.836
      1.00000       14.0000   6.97856e+10      0.904586      0.349814      0.455507       8.97091       5.64491      0.640918       204.857       208.647      0.375086      0.365056       109.011       106.685
      1.00000       15.0000   6.44426e+10      0.212614      0.479611      0.467167       6.15333       4.36048       1.05581       311.246       318.219      0.154070      0.165427       114.161       112.447
      1.00000       16.0000   5.86219e+10      0.577799      0.714833      0.723314       7.09093       5.70896       2.52728       151.012       143.898      0.675634      0.569610       82.0612       83.7048
      1.00000       17.0000   2.05502e+10       1.21002      0.589388      0.565344       4.77756       3.11027      0.893960       259.358       294.146      0.314208      0.160453       70.6585       67.9247
      1.00000       18.0000   4.93131e+10     0.0315256      0.313036      0.283865       2.60917       1.94713      0.579356       347.818       433.613      0.227125      0.301854       165.243       149.813
      1.00000       19.0000   3.32810e+10       1.83493      0.737242      0.736727       7.47428       4.87129       1.82940       457.302       527.355      0.377207      0.407752       64.4337       63.7856
      1.00000       20.0000   3.22589e+10      0.286021      0.201034     0.0742505       5.82203       4.57722      0.293739       71.8092       64.3667      0.300617      0.128345       104.943       74.6964
      1.00000       21.0000   8.99237e+10       0.00000      0.123578      0.325767       3.62956       2.14095      0.270944       164.431       159.529      0.254595      0.233030       108.363       170.357
      1.00000       22.0000   2.42798e+10      0.103344      0.495571      0.455047       3.23430       2.10919      0.972326       231.077       233.851      0.386735      0.266535       85.2788       78.4802
      1.00000       23.0000   4.98675e+10      0.613857      0.670153      0.400835       5.21633       4.42198       2.00316       269.544       277.062      0.567006      0.108074       86.9413       68.4771
      1.00000       24.0000   5.38231e+10      0.653837      0.631197      0.648552       6.80789       4.98525       1.66997       169.430       91.7478      0.665047      0.684478       93.4604       94.3050
      1.00000       25.0000   6.98425e+10       0.00000     0.0774874     0.0508286       5.68851       3.44012     0.0292864       303.236       183.267      0.157287      0.181112       152.404       140.440
      1.00000       26.0000   4.20276e+10     0.0315774      0.586226      0.533687       8.17631       6.37594       1.30971       402.249       239.113      0.467609     0.0668572       79.5681       73.8916
      1.00000       27.0000   3.68594e+10      0.544929      0.509920      0.434858       5.39532       4.71757       1.10943       498.417       294.117      0.347530      0.327449       80.8790       76.1405
      1.00000       28.0000   2.93933e+10      0.453745      0.636824      0.459966       5.52138       4.21202       1.87041       182.194       126.304      0.655398      0.186897       78.6657       68.6146
      1.00000       29.0000   4.56208e+10       0.00000      0.522773      0.111708       3.78352       2.58590       1.12461       297.741       173.898      0.510250      0.226823       110.782       84.8964
      1.00000       30.0000   1.55741e+10       1.09282      0.262255      0.264171       3.68508       1.91219      0.306218       372.402       227.299      0.405403      0.366131       79.7844       78.0076
      1.00000       31.0000   1.80939e+10       0.00000      0.155379     0.0890779       3.78024       2.79438      0.108646       431.239       259.009      0.328934      0.260485       92.6593       76.5012
      1.00000       32.0000   2.09030e+10      0.640782      0.651115      0.660858       5.66687       4.67506       2.00525       83.1919       97.7804      0.571258      0.645454       66.1603       66.3272
      1.00000       33.0000   4.05999e+10       0.00000      0.287978      0.260803       2.13509       1.46902      0.385523       102.348       124.119      0.325850      0.406328       155.690       150.427
      1.00000       34.0000   3.67933e+10       0.00000      0.168846      0.149343       2.44737       1.60588      0.340994       122.108       140.045      0.336886      0.151991       118.026       109.382
      1.00000       35.0000   2.09360e+10      0.667874      0.515910      0.541919       5.99152       5.47011       1.13356       153.020       164.826      0.485513      0.476333       65.8404       66.2977
