#FinalClass GroupNumber SubGroupNumber GalaxyID  SuccessFlag
1.0 229.0 0.0 10088970.0 3.0
0.0 231.0 0.0 10094365.0 4.0
1.0 234.0 0.0 10098636.0 4.0
3.0 236.0 0.0 10108399.0 4.0
1.0 241.0 1.0 10202982.0 2.0
1.0 250.0 0.0 10214268.0 4.0
1.0 256.0 0.0 10267875.0 2.0
3.0 259.0 0.0 10297940.0 3.0
1.0 260.0 0.0 10400500.0 4.0
0.0 261.0 0.0 10422405.0 4.0
1.0 263.0 0.0 10500691.0 1.0
1.0 264.0 0.0 10513356.0 3.0
1.0 266.0 0.0 10624027.0 4.0
1.0 276.0 0.0 10666539.0 3.0
1.0 277.0 1.0 10668208.0 3.0
0.0 278.0 0.0 10672054.0 4.0
1.0 282.0 1.0 10793820.0 1.0
1.0 285.0 0.0 10915109.0 3.0
0.0 288.0 0.0 10965880.0 4.0
0.0 293.0 1.0 10978426.0 2.0
3.0 295.0 1.0 11041878.0 2.0
1.0 296.0 0.0 11233285.0 1.0
1.0 306.0 0.0 11486870.0 3.0
1.0 311.0 0.0 11591453.0 4.0
1.0 312.0 1.0 12145071.0 1.0
0.0 315.0 0.0 12149158.0 3.0
1.0 318.0 1.0 12164583.0 2.0
1.0 321.0 1.0 12712401.0 3.0
1.0 325.0 0.0 12737014.0 3.0
0.0 325.0 1.0 12746616.0 3.0
0.0 336.0 0.0 12748607.0 3.0
1.0 338.0 0.0 12777206.0 1.0
0.0 341.0 0.0 130677.0 3.0
3.0 344.0 1.0 13154468.0 4.0
2.0 350.0 0.0 13184670.0 3.0
1.0 351.0 1.0 13629343.0 3.0
1.0 352.0 0.0 13660659.0 2.0
0.0 357.0 0.0 13691170.0 1.0
1.0 359.0 0.0 13722615.0 3.0
0.0 360.0 0.0 13833469.0 3.0
1.0 375.0 1.0 13861188.0 3.0
0.0 376.0 0.0 13866051.0 3.0
1.0 382.0 0.0 13885345.0 4.0
2.0 389.0 0.0 13892596.0 1.0
1.0 390.0 0.0 1390572.0 3.0
0.0 391.0 1.0 13965936.0 1.0
0.0 392.0 2.0 14007135.0 4.0
2.0 393.0 1.0 14018345.0 1.0
0.0 395.0 2.0 14104040.0 1.0
2.0 399.0 0.0 14164096.0 3.0
0.0 400.0 0.0 14188899.0 2.0
0.0 401.0 1.0 14211586.0 1.0
5.0 409.0 0.0 14216102.0 4.0
0.0 413.0 1.0 14227199.0 3.0
0.0 418.0 0.0 142885.0 2.0
0.0 419.0 0.0 14359554.0 3.0
2.0 420.0 0.0 14436222.0 2.0
0.0 426.0 0.0 14459773.0 1.0
2.0 427.0 0.0 14476588.0 3.0
0.0 429.0 0.0 14523328.0 2.0
2.0 433.0 0.0 14559627.0 3.0
0.0 436.0 0.0 14607787.0 2.0
0.0 445.0 0.0 14642196.0 3.0
0.0 447.0 0.0 14696151.0 3.0
0.0 455.0 0.0 14706695.0 2.0
4.0 456.0 0.0 14883340.0 3.0
0.0 459.0 1.0 14895218.0 1.0
0.0 462.0 0.0 15028757.0 3.0
0.0 469.0 0.0 15038750.0 2.0
1.0 477.0 0.0 15070187.0 3.0
2.0 479.0 0.0 15118185.0 4.0
0.0 486.0 0.0 15141076.0 2.0
0.0 489.0 0.0 15157617.0 3.0
0.0 497.0 0.0 15197399.0 1.0
1.0 500.0 0.0 15239965.0 3.0
1.0 505.0 0.0 15343517.0 4.0
0.0 507.0 1.0 15362841.0 2.0
0.0 508.0 0.0 15371868.0 4.0
0.0 517.0 1.0 15393778.0 3.0
1.0 521.0 0.0 15402075.0 3.0
0.0 524.0 0.0 15484682.0 4.0
1.0 525.0 0.0 15535361.0 3.0
0.0 530.0 0.0 15554595.0 4.0
1.0 533.0 0.0 15691064.0 1.0
2.0 536.0 0.0 15710021.0 4.0
0.0 538.0 2.0 15797865.0 4.0
0.0 542.0 0.0 15811947.0 3.0
0.0 550.0 1.0 15823417.0 2.0
2.0 553.0 0.0 15878251.0 2.0
0.0 555.0 1.0 15940995.0 3.0
0.0 558.0 0.0 15953505.0 1.0
0.0 566.0 1.0 15973149.0 3.0
1.0 569.0 0.0 16027781.0 4.0
0.0 571.0 0.0 16062294.0 2.0
1.0 577.0 0.0 16072004.0 3.0
0.0 578.0 0.0 16150065.0 2.0
0.0 583.0 0.0 16179867.0 2.0
0.0 586.0 0.0 16221451.0 2.0
0.0 602.0 1.0 16268671.0 1.0
0.0 605.0 1.0 16385870.0 3.0
0.0 607.0 0.0 16424324.0 2.0
0.0 620.0 0.0 16429681.0 3.0
0.0 627.0 0.0 16462660.0 3.0
0.0 631.0 1.0 16472249.0 1.0
0.0 638.0 0.0 16491888.0 3.0
1.0 639.0 0.0 16504438.0 3.0
0.0 645.0 0.0 16543297.0 3.0
0.0 649.0 0.0 16550702.0 4.0
1.0 650.0 0.0 16583346.0 2.0
0.0 665.0 0.0 16632264.0 3.0
0.0 668.0 0.0 16657910.0 4.0
1.0 669.0 0.0 16664981.0 1.0
2.0 682.0 2.0 16701963.0 3.0
0.0 688.0 0.0 16727953.0 3.0
0.0 689.0 0.0 16740639.0 3.0
0.0 696.0 1.0 16774780.0 4.0
0.0 697.0 0.0 16791966.0 3.0
0.0 698.0 0.0 16807937.0 3.0
0.0 699.0 1.0 16824761.0 3.0
0.0 716.0 0.0 16911816.0 2.0
0.0 717.0 0.0 16916060.0 2.0
0.0 720.0 0.0 17017274.0 4.0
0.0 722.0 1.0 17033425.0 2.0
0.0 725.0 0.0 17068441.0 1.0
2.0 728.0 0.0 17097593.0 2.0
0.0 729.0 0.0 17113138.0 4.0
1.0 730.0 1.0 17246197.0 2.0
2.0 734.0 0.0 17255594.0 2.0
1.0 737.0 0.0 17271201.0 4.0
0.0 744.0 0.0 17357222.0 4.0
4.0 747.0 1.0 1745905.0 4.0
0.0 748.0 0.0 17494069.0 1.0
1.0 756.0 0.0 17497366.0 4.0
0.0 757.0 0.0 17574678.0 4.0
2.0 765.0 0.0 17592248.0 4.0
0.0 766.0 1.0 17596949.0 1.0
1.0 774.0 0.0 17611275.0 1.0
0.0 775.0 0.0 17618660.0 3.0
2.0 783.0 0.0 17654556.0 4.0
1.0 784.0 0.0 17666084.0 4.0
1.0 806.0 0.0 17676396.0 2.0
2.0 810.0 0.0 17697184.0 4.0
0.0 818.0 0.0 17723838.0 3.0
0.0 826.0 0.0 17749095.0 4.0
0.0 832.0 0.0 17752120.0 4.0
1.0 852.0 0.0 17775312.0 4.0
0.0 867.0 0.0 17795987.0 3.0
4.0 888.0 0.0 17818556.0 1.0
0.0 892.0 0.0 17866288.0 4.0
1.0 893.0 0.0 17911420.0 2.0
1.0 895.0 0.0 17990051.0 2.0
0.0 901.0 0.0 18060725.0 2.0
0.0 902.0 0.0 18120449.0 4.0
1.0 903.0 0.0 18160042.0 2.0
0.0 912.0 0.0 18192270.0 4.0
0.0 919.0 0.0 18292452.0 2.0
1.0 929.0 0.0 18303794.0 3.0
1.0 930.0 0.0 18320343.0 2.0
0.0 944.0 0.0 18373708.0 1.0
0.0 946.0 0.0 18377511.0 2.0
1.0 952.0 0.0 18381161.0 4.0
0.0 961.0 0.0 18412316.0 1.0
0.0 975.0 0.0 18433096.0 4.0
2.0 980.0 0.0 18481114.0 2.0
1.0 995.0 0.0 18601016.0 2.0
2.0 998.0 0.0 18680975.0 3.0
2.0 1001.0 0.0 18816264.0 2.0
2.0 1008.0 0.0 18873061.0 1.0
2.0 1009.0 0.0 18961506.0 4.0
2.0 1011.0 1.0 19054212.0 3.0
3.0 1028.0 0.0 19215047.0 4.0
2.0 1047.0 0.0 19299050.0 4.0
0.0 1065.0 0.0 19380932.0 4.0
2.0 1078.0 0.0 19534448.0 2.0
4.0 1081.0 0.0 19595681.0 2.0
1.0 1096.0 0.0 19845187.0 1.0
0.0 1108.0 0.0 19927838.0 4.0
1.0 1115.0 0.0 20163968.0 3.0
0.0 1148.0 0.0 20225920.0 4.0
1.0 1151.0 0.0 20309019.0 3.0
1.0 1169.0 0.0 20339743.0 4.0
0.0 1172.0 0.0 20359745.0 3.0
1.0 1175.0 0.0 20398653.0 4.0
0.0 1181.0 0.0 20414028.0 2.0
0.0 1187.0 0.0 20429477.0 3.0
0.0 1192.0 0.0 20574261.0 2.0
0.0 1200.0 0.0 20640561.0 3.0
0.0 1208.0 0.0 20782068.0 4.0
0.0 1209.0 0.0 20796004.0 2.0
1.0 1215.0 0.0 2430738.0 2.0
0.0 1222.0 0.0 247997.0 3.0
4.0 1224.0 0.0 2490437.0 3.0
1.0 1231.0 0.0 2559052.0 3.0
1.0 1238.0 0.0 2638163.0 4.0
1.0 1244.0 0.0 2641810.0 3.0
0.0 1247.0 0.0 2721236.0 3.0
2.0 1259.0 0.0 2748527.0 4.0
0.0 1285.0 0.0 2780928.0 3.0
0.0 1286.0 0.0 3274715.0 4.0
1.0 1289.0 0.0 3397222.0 3.0
1.0 1292.0 0.0 3436084.0 1.0
0.0 1309.0 0.0 3477850.0 3.0
0.0 1322.0 0.0 3521601.0 3.0
0.0 1328.0 0.0 3523445.0 4.0
1.0 1336.0 0.0 3540462.0 4.0
1.0 1353.0 0.0 3543222.0 2.0
0.0 1354.0 0.0 37878.0 4.0
1.0 1366.0 0.0 4513778.0 3.0
0.0 1380.0 0.0 4560272.0 2.0
1.0 1381.0 0.0 4561773.0 3.0
1.0 1387.0 0.0 47024.0 3.0
0.0 1399.0 0.0 5309322.0 3.0
1.0 1401.0 0.0 5352573.0 1.0
0.0 1410.0 0.0 5994741.0 3.0
2.0 1424.0 0.0 6004914.0 1.0
1.0 1434.0 0.0 6041563.0 2.0
0.0 1439.0 0.0 6043240.0 3.0
2.0 1449.0 0.0 611455.0 2.0
0.0 1466.0 0.0 6620619.0 0.0
0.0 1489.0 0.0 6621770.0 3.0
1.0 1496.0 0.0 6656922.0 2.0
1.0 1497.0 0.0 7608940.0 2.0
1.0 1505.0 0.0 7694028.0 1.0
0.0 1508.0 0.0 8119055.0 2.0
1.0 1520.0 0.0 8133711.0 3.0
1.0 1534.0 0.0 8166017.0 1.0
0.0 1537.0 0.0 8206767.0 2.0
0.0 1538.0 0.0 8259238.0 2.0
1.0 1550.0 0.0 8266166.0 3.0
0.0 1577.0 0.0 8279115.0 3.0
0.0 1580.0 0.0 8350685.0 3.0
0.0 1590.0 0.0 8357017.0 3.0
0.0 1594.0 0.0 8402936.0 2.0
1.0 1629.0 0.0 8418794.0 4.0
1.0 1633.0 0.0 8452651.0 1.0
1.0 1671.0 0.0 8460063.0 4.0
1.0 1674.0 0.0 8463168.0 4.0
4.0 1684.0 0.0 8469872.0 3.0
3.0 1686.0 0.0 8479313.0 4.0
0.0 1691.0 0.0 8546954.0 3.0
3.0 1693.0 0.0 8550655.0 2.0
0.0 1702.0 0.0 8557263.0 2.0
0.0 1713.0 0.0 8586726.0 3.0
0.0 1729.0 0.0 8603770.0 4.0
0.0 1741.0 0.0 8607285.0 4.0
1.0 1755.0 0.0 8626549.0 3.0
1.0 1767.0 0.0 8639033.0 3.0
0.0 1786.0 0.0 8648067.0 1.0
0.0 1788.0 0.0 8672479.0 4.0
0.0 1811.0 0.0 8729071.0 2.0
1.0 1826.0 0.0 8745474.0 4.0
1.0 1827.0 0.0 8747773.0 4.0
1.0 1838.0 0.0 8850935.0 3.0
2.0 1843.0 0.0 8862668.0 3.0
0.0 1882.0 0.0 8930052.0 2.0
1.0 1883.0 0.0 8948514.0 1.0
1.0 1921.0 0.0 9006562.0 4.0
1.0 1922.0 0.0 9017403.0 4.0
1.0 1927.0 0.0 9032933.0 3.0
0.0 1931.0 0.0 9051080.0 3.0
0.0 1940.0 0.0 9116296.0 2.0
0.0 1964.0 0.0 9121172.0 2.0
0.0 1998.0 0.0 9170939.0 3.0
0.0 2020.0 0.0 9181450.0 3.0
1.0 2033.0 0.0 9235883.0 3.0
1.0 2044.0 0.0 9258026.0 3.0
1.0 2060.0 0.0 9259594.0 2.0
1.0 2079.0 0.0 9287830.0 3.0
1.0 2084.0 0.0 9300891.0 4.0
1.0 2100.0 0.0 9320722.0 2.0
0.0 2102.0 0.0 9335718.0 4.0
0.0 2129.0 0.0 9342623.0 3.0
0.0 2131.0 0.0 9409131.0 4.0
0.0 2150.0 0.0 9419559.0 3.0
1.0 2201.0 0.0 9420821.0 4.0
0.0 2204.0 0.0 9443123.0 1.0
1.0 2216.0 0.0 9481538.0 2.0
0.0 2242.0 0.0 9482505.0 3.0
1.0 2249.0 0.0 9488373.0 2.0
2.0 2266.0 0.0 9498012.0 4.0
1.0 2339.0 0.0 9578504.0 2.0
0.0 2357.0 0.0 9617290.0 3.0
0.0 2367.0 0.0 9638853.0 3.0
1.0 2372.0 0.0 9691855.0 3.0
4.0 2380.0 0.0 9695680.0 4.0
3.0 2461.0 0.0 9808390.0 4.0
1.0 2490.0 0.0 9825273.0 2.0
1.0 2543.0 0.0 9827335.0 1.0
1.0 2568.0 0.0 9834051.0 4.0
1.0 2646.0 0.0 9837199.0 3.0
0.0 2712.0 0.0 9845892.0 4.0
0.0 2729.0 0.0 9858662.0 3.0
0.0 2817.0 0.0 9876754.0 2.0
1.0 3108.0 0.0 9891649.0 3.0
0.0 3461.0 0.0 9906769.0 4.0
1.0 4124.0 0.0 9942163.0 3.0
4.0 4410.0 0.0 9970076.0 2.0
3.0 6494.0 0.0 9987252.0 3.0
